0	-17.707361
1	-15.383466
2	-15.103927
3	-12.414873
4	-12.414873
5	-11.259563
6	-11.148946
7	-11.106557
8	-10.778583
9	-10.778583
10	-9.805244
11	-9.510268
12	-9.510268
13	-8.385165
14	-8.385165
15	-8.041174
16	-8.000000
17	-8.000000
18	-7.549778
19	-6.407360
20	-6.275961
21	-6.275961
22	-6.000000
23	-6.000000
24	-5.811998
25	-5.811998
26	-5.646708
27	-5.287055
28	-5.173216
29	-4.644962
30	-4.326475
31	-4.326475
32	-4.312836
33	-4.109954
34	-4.000000
35	-4.000000
36	-4.000000
37	-3.489044
38	-3.489044
39	-3.451651
40	-3.208435
41	-3.208435
42	-3.133171
43	-2.590643
44	-2.331524
45	-2.000000
46	-2.000000
47	-2.000000
48	-1.732800
49	-1.057967
50	-0.677183
51	-0.630209
52	-0.630209
53	0.000000
54	0.000000
55	0.297556
56	0.386787
57	0.386787
58	0.439452
59	0.439452
60	1.213260
61	1.364994
62	2.000000
63	2.102425
64	2.102425
65	2.385165
66	2.385165
67	2.636233
68	2.795654
69	2.952855
70	3.112498
71	3.131546
72	3.307482
73	3.307985
74	3.307985
75	3.980114
76	4.297624
77	4.297624
78	4.655697
79	4.712850
80	5.010380
81	5.284153
82	6.334206
83	6.334206
84	7.440804
85	8.400045
86	8.400045
87	8.573484
88	8.668651
89	9.083176
90	9.083176
91	9.100617
92	9.895976
93	10.334855
94	10.334855
95	10.370452
96	10.371096
97	10.386098
98	11.331785
99	11.596739
100	11.816415
101	11.816415
102	12.062207
103	12.062207
104	12.249449
105	12.249449
106	12.250098
107	12.250098
108	12.777157
109	12.825386
110	12.937350
111	13.043597
112	13.043597
113	13.171573
114	13.207946
115	13.293920
116	13.460563
117	13.884838
118	13.884838
119	14.000000
120	14.284494
121	14.516671
122	14.516671
123	14.637652
124	15.067612
125	15.099878
126	15.361078
127	15.678029
128	15.954256
129	15.954256
130	16.000000
131	16.000000
132	16.101516
133	16.101516
134	16.126411
135	16.126411
136	16.341297
137	16.408283
138	16.436662
139	16.436662
140	16.724186
141	16.900122
142	17.362348
143	17.367329
144	17.367329
145	17.384579
146	17.390095
147	17.625147
148	17.625147
149	17.859603
150	17.859603
151	17.872419
152	18.000000
153	18.234839
154	18.271847
155	18.301897
156	18.301897
157	18.332205
158	18.370642
159	18.828427
160	19.210611
161	19.210611
162	19.759456
163	20.403102
164	20.403102
165	20.403261
166	20.978032
167	21.009517
168	21.170878
169	21.170878
170	21.628904
171	21.629548
172	21.648062
173	21.648062
174	21.744604
175	22.034641
176	22.034641
177	22.691575
178	22.691575
179	23.103484
180	23.331349
181	23.356851
182	23.356851
183	23.401422
184	25.212861
185	25.455580
186	25.455580
187	25.724851
188	26.667414
189	27.696631
190	28.692518
191	28.833361
192	28.833361
193	29.900605
194	30.091047
195	30.091047
196	30.864471
197	30.926955
198	31.040675
199	31.490537
200	31.499774
201	31.499774
202	31.702444
203	31.782271
204	32.000000
205	32.886263
206	32.990319
207	32.990319
208	33.732800
209	34.000000
210	34.000000
211	34.036219
212	34.148756
213	34.167998
214	34.167998
215	34.223615
216	34.223615
217	34.253902
218	34.741621
219	36.000000
220	36.306645
221	36.312836
222	36.313455
223	36.313455
224	36.612559
225	36.622313
226	37.429291
227	38.000000
228	38.204405
229	38.204405
230	38.407360
231	38.898905
232	38.898905
233	38.917237
234	38.917237
235	40.000000
236	40.000000
237	41.930673
238	42.512385
239	42.650543
240	42.650543
241	42.843268
242	46.000000
243	50.000000
244	50.000000
245	51.082763
246	51.082763
247	53.135529
248	54.282676
249	54.318473
250	54.318473
251	54.361238
252	56.000000
253	56.000000
254	62.000000
255	72.000000
